,index,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,Z
31,31,6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,-0.8020664996878776
32,32,6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,-1.917879603464849
33,33,6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,0.9946439152408005
34,34,6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,0.5980885119844883
35,35,6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,-0.49797600623604815
36,36,6,3,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,0.6516888700733331
37,37,7,4,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,-0.021990169836795883
38,38,7,3,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,0.7575966308602992
39,39,4,4,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,0.8554256874205632
40,40,4,4,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,1.5177859885909966
41,41,4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,0.26261797236862944
42,42,4,4,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,-1.661071281695342
43,43,4,4,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,0.4782330152757234
44,44,4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,-0.4515624328033707
45,45,5,6,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,0.3072066632525293
46,46,5,6,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,0.38758304483981393
47,47,6,6,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,-0.020735191697656894
48,48,4,4,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,0.5107350924859372
49,49,4,4,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,0.8396418479623218
50,50,4,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,1.2503041546295062
51,51,4,3,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,-0.670708678120688
52,52,4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,-1.257778337050352
53,53,4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,-2.080337912715869
54,54,4,3,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,0.05576447119759846
55,55,4,3,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,0.6018373343973299
56,56,4,3,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,-1.1256159849675957
57,57,4,3,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,0.04077482342756312
58,58,2,2,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,0.6249437979405277
59,59,2,2,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,-1.0267968963839607
60,60,2,2,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,-0.9603107396689363
61,61,2,2,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,0.8243596716200097
62,62,2,2,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,0.11792617904215281
63,63,2,2,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,0.8989337572180955
64,64,2,2,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,0.49979376989110336
65,65,2,2,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,0.484592787934136
66,66,2,2,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,-1.3680977890678907
67,67,2,2,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,-0.1896829799492564
68,68,2,2,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,-0.2472431199004054
69,69,4,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,0.5210341828586086
70,70,4,5,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,0.5731015658895061
71,71,4,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,-1.0742439019080328
72,72,5,4,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,0.4038291229776448
73,73,5,4,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,0.4604761040049384
74,74,5,4,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,0.677678100814953
75,75,9,9,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,0.3980371289731161
76,76,9,9,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,-0.2364864160966496
77,77,1,3,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,0.19143424395906436
78,78,1,2,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,-1.809761890932072
79,79,1,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,-1.5758931228469202
80,80,1,2,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,-1.102070015713817
81,81,1,2,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,-0.6664504720593856
82,82,1,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,0.7511742445282658
83,83,1,2,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,-1.7002376128712104
84,84,1,2,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,-0.0657066109145725
85,85,1,2,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,-0.22141936417151092
86,86,1,2,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,-1.6027180628271613
87,87,1,2,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,-0.211231838009065
88,88,1,2,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,-2.4060513775849355
89,89,6,5,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,1.0741850343296588
90,90,6,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,-0.03739863310295612
91,91,8,6,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,-0.3310151671018721
92,92,8,6,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,-0.14168491435614955
93,93,8,6,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,0.03183291607802775
94,94,8,6,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,-1.4171408369287746
95,95,4,4,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0,-0.14328587300790044
96,96,3,4,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0,0.6982627416092332
97,97,3,4,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0,-2.4055760567551996
98,98,3,4,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,-1.0345998445198439
99,99,3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,-0.17660184667521442
100,100,3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,-1.3076740770958655
101,101,3,4,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,-0.23903774083702833
102,102,2,4,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,0.5013832393574666
103,103,2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,-1.571566936343627
104,104,2,4,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,0.36302147620086184
105,105,4,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,-1.2923033572238634
106,106,4,5,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,-0.27510720695442137
107,107,4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,0.36352327142660756
108,108,4,5,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,-0.058988802413943595
109,109,4,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,0.16683272681735312
110,110,4,4,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,-0.4214846710400709
111,111,3,4,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,-1.6251178352543545
112,112,3,4,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,-0.08196215868381271
113,113,3,4,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0,1.0264404038384127
114,114,3,4,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,1.0128045159086791
115,115,3,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,-1.252269408049199
116,116,3,4,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,-0.733394836705009
117,117,3,4,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,1.7530304593439343
118,118,3,4,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,-1.251648767960831
119,119,3,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,-2.049625004242111
120,120,3,4,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,0.18731198124870496
121,121,3,4,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0,-0.06249644073388219
122,122,3,4,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,-0.5246085141023239
123,123,3,4,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,-0.36835886938249834
124,124,3,4,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,-0.6821972105095095
125,125,3,4,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,-0.17683681041173038
126,126,3,5,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,0.551959908999864
127,127,3,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,-0.3721190459015026
128,128,3,5,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,2.029753686030612
129,129,2,5,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,0.2754025411079083
130,130,4,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,1.140965714792418
131,131,4,6,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,0.33213812921453684
132,132,4,6,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,0.6418691727663188
133,133,4,6,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,2.275565142402392
134,134,3,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,0.9208080147530228
135,135,3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,-0.02454742072282634
136,136,3,6,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0,2.202208052876856
137,137,3,6,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,0.07905545373502944
138,138,9,9,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,-1.2765171975539225
139,139,1,4,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,0.3322681967443368
140,140,2,5,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,0.9791707520370295
141,141,1,2,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,-0.1449731302318844
142,142,8,6,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,-0.4787082505486609
143,143,1,2,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,1.2927742204257773
144,144,2,5,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,-0.11117505595384468
145,145,6,5,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,0.8911110129431907
146,146,5,4,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,-0.18551277311827535
147,147,8,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,-2.3768085668429246
148,148,2,2,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,-1.03278546735151
149,149,8,6,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,-0.5573448483953612
150,150,6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,1.7148671725601552
151,151,9,9,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,-0.4728557586473366
152,152,3,4,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,-0.26041929466588537
153,153,5,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,1.5043022108618087
154,154,1,5,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,-0.5196943627429416
155,155,7,4,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,0.11824620797590209
156,156,2,4,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,0.6416341574816689
157,157,2,2,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,0.25938291524778895
158,158,2,4,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,1.2189945246800253
159,159,7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,-0.41166493133969184
160,160,7,4,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,-0.239006537188003
161,161,6,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,-0.9137273530134964
162,162,6,3,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,-0.8738815183839783
163,163,8,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,0.8423194119047462
164,164,8,5,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,0.12732829285845232
165,165,6,5,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,0.6464335556543536
166,166,6,5,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,0.3203483236866706
167,167,6,5,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,0.7611451950696763
168,168,6,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,-0.9516125184488322
169,169,8,6,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,-1.7500768185060238
170,170,5,4,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,-0.2536153149852138
171,171,8,6,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,-0.5904883782966333
172,172,7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,0.38542514639389747
173,173,4,4,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07,0.44772407038048995
174,174,1,4,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5,0.8735635179640447
175,175,1,4,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53,0.36913561131399625
176,176,6,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61,0.10942129181543739
177,177,2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69,-0.5392595562576673
178,178,2,5,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88,0.019344972778378954
179,179,8,6,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,1.316421852180432
180,180,1,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33,-1.5365597700921403
181,181,8,6,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44,0.9066633160613822
182,182,5,4,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38,0.2158964264986012
183,183,7,4,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83,-0.3454393265687141
184,184,8,6,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96,-1.2698107611591765
185,185,2,5,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04,-1.0254344351680902
186,186,8,6,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19,0.9912207250936571
187,187,1,5,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3,-0.00440986604600627
188,188,6,4,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4,2.3298218237435107
189,189,7,4,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24,-1.5727838999714812
190,190,6,5,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31,-0.6108307588864345
191,191,2,5,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68,-1.1265716640854617
192,192,2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71,0.3686626129160675
193,193,4,5,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41,-0.41905304117724795
194,194,2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01,-1.983799763677013
195,195,2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02,1.085031249535211
196,196,6,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93,-1.7211390398701234
197,197,4,5,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06,0.3281164747562424
198,198,3,4,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24,0.11105352335405588
199,199,2,4,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32,-0.5861167432309519
200,200,1,5,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53,0.7755735176937266
201,201,6,5,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1,1.2789664685111994
202,202,7,4,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05,-1.4367058857195998
203,203,8,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7,0.11143205207928822
204,204,5,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99,1.2822000587226556
205,205,4,5,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57,-0.2568061404352883
206,206,2,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45,0.6672603439584109
207,207,7,5,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2,-0.3783876734060711
208,208,6,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23,0.7419741985757334
209,209,8,3,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41,0.8517373526061504
210,210,4,4,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23,-0.8462169219031607
211,211,7,4,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0,1.1117812570931849
212,212,7,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13,-2.180244642332407
213,213,7,3,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35,0.45272874896354254
214,214,4,4,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,-1.5667324476938267
215,215,4,4,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,1.0277703746724658
216,216,4,4,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48,-1.8292373727248856
217,217,1,3,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32,-0.8990720072502116
218,218,4,5,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72,-0.4336138868255421
219,219,6,5,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86,0.7393970204932419
220,220,8,6,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07,-0.19234097272719766
221,221,3,4,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88,0.2574067611762141
222,222,4,3,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85,1.6165152532829283
223,223,2,2,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02,0.0950835480512169
224,224,7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71,1.0901194509809795
225,225,4,4,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55,-0.9586502369065873
226,226,7,5,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37,-1.1055895113947076
227,227,8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3,1.0790645912174295
228,228,4,6,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1,0.7937675977246158
229,229,8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3,-1.5343100734771313
230,230,4,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49,0.5622911860527425
231,231,1,5,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18,2.279252726783747
232,232,6,4,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39,0.5331036698625858
233,233,9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66,-1.4166028707627913
234,234,4,5,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88,-0.5663071843980851
235,235,8,6,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48,1.4083506942058648
236,236,2,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94,0.48177126039991636
237,237,1,2,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88,-1.4484513414046483
238,238,6,5,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84,0.7616650255081913
239,239,7,5,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0,0.9539428716203505
240,240,6,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0,0.6861303979350928
241,241,4,4,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0,1.3569211479916403
242,242,2,4,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13,0.8359347613271793
243,243,7,4,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0,-0.23466039859839233
244,244,2,4,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87,0.16495498354786953
245,245,3,4,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76,-0.25149620621630114
246,246,5,4,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09,0.15750334285029066
247,247,2,4,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75,0.6586529772489768
248,248,8,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0,-0.9453942777032514
249,249,3,4,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47,0.7778578330166708
250,250,8,5,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68,-0.9700530157952051
251,251,8,5,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24,-0.7940947638313816
252,252,6,5,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21,-0.6637103591156103
253,253,7,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52,-0.14292797700594542
254,254,6,3,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34,-1.9895492198018176
255,255,2,5,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0,0.4723316599715589
256,256,8,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02,-1.6895542915323076
257,257,4,3,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68,-0.7202425532277904
258,258,3,4,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0,-0.9688431910845148
259,259,7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38,-1.2473022355285242
260,260,2,4,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85,-1.2759346289946003
261,261,3,4,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3,-0.8244229461663749
262,262,2,4,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25,-0.7534594634715207
263,263,6,3,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56,-1.3384034142108778
264,264,4,4,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54,-0.2827247117959844
265,265,4,4,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79,0.8205451676997858
266,266,6,5,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17,-1.305677906833074
267,267,2,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0,-0.6570208380429345
268,268,3,4,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0,0.0725885573869675
269,269,4,4,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4,0.1472700302154328
